Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,Sets,Reps,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,Workout_Type_Cardio,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Difficulty Level_Advanced,Difficulty Level_Beginner,Difficulty Level_Intermediate
34.91,1,65.27,1.62,188.58,157.65,69.05,1.0,1080.9,26.800377179186803,1.5,3.99,2.01,24.87,2.99,0.01,267.68,106.05,71.63,1806.0,31.77,1729.94,285.05,120.47,4.99,20.91,24.8704465782655,2139.59,0.5004323258194326,1.624789336601808,0.7412365096628462,0.8359847279669106,725.0999999999999,47.77739381514478,0,0,1,0,1,0,0
23.37,0,56.41,1.55,179.43,131.75,73.18,1.37,1809.91,27.65502094955822,1.9,4.0,2.01,23.48,3.01,0.97,214.32,85.41,56.97,1577.0,12.34,693.08,300.61,109.15,4.01,16.15,23.479708636836623,1711.65,0.5008500569625799,1.5140932458783904,0.5512470588235293,0.7342696316112133,-232.91000000000008,40.8098026823542,0,1,0,0,0,0,1
33.2,0,58.98,1.67,175.04,123.95,54.96,0.91,802.26,24.32082112410528,1.88,2.99,1.02,21.15,1.99,-0.02,246.04,98.11,65.48,1608.0,42.81,2142.48,215.42,399.43,5.0,21.9,21.14812291584495,1965.92,0.5006104012370798,1.6634452356731095,0.5745336442371753,0.708123857404022,805.74,44.63557970100271,1,0,0,0,0,0,1
38.69,0,93.78,1.7,191.21,155.1,50.07,1.1,1450.79,32.81357178608907,2.5,3.99,1.99,32.45,3.0,0.04,203.22,80.84,54.56,2657.0,9.34,123.2,9.7,314.31,4.01,16.92,32.44982698961938,1627.28,0.499532962981171,0.8620174877372574,0.7441547399744933,0.811150044453742,1206.21,63.00743237900567,0,1,0,0,1,0,0
45.09,1,52.42,1.88,193.58,152.88,70.84,1.08,1166.4,17.307318603384633,2.91,4.0,2.0,14.83,3.0,3.0,332.79,133.05,88.43,1470.0,23.78,1935.11,116.89,99.22,4.99,15.01,14.831371661385244,2659.2300000000005,0.5005809952505048,2.538153376573827,0.6684047580250936,0.7897510073354684,303.5999999999999,43.34750358810577,0,0,1,0,1,0,0
53.19,0,105.05,1.84,176.52,130.6,61.84,0.69,453.33,32.04906403773502,2.91,3.02,1.0,31.03,2.99,-0.04,170.86,67.92,46.06,2767.0,15.89,2382.39,36.38,416.54,4.0,25.1,31.02847353497164,1369.66,0.4989851495991706,0.6465492622560686,0.5995814440181373,0.7398595060049852,2313.67,71.38245822835935,0,0,0,1,0,1,0
23.17,1,58.41,1.78,184.75,140.9,58.01,1.67,1953.9,20.54629200523472,2.71,4.96,3.0,18.44,2.02,-0.03,280.33,112.35,74.97,1867.0,12.48,2220.46,56.69,289.93,5.01,25.04,18.435172326726423,2245.45,0.4993742902313567,1.923472008217771,0.6540160959444533,0.7626522327469554,-86.90000000000009,46.4089108397424,0,0,1,0,1,0,0
55.92,0,84.07,1.63,183.87,141.12,51.79,1.01,727.81,32.08817620708069,2.88,3.97,2.01,31.64,2.99,0.0,262.57,105.41,70.37,2191.0,2.87,1501.99,74.7,487.67,4.97,18.95,31.6421393353156,2105.25,0.4988861180382377,1.2538360889734743,0.6763325257419746,0.767498776309349,1463.19,57.093470262707264,0,0,0,1,0,0,1
24.11,0,88.58,1.79,176.78,154.07,65.19,1.76,2062.37,27.36724576855457,3.49,4.01,3.02,27.65,3.0,0.02,173.08,69.44,45.91,2587.0,0.72,293.36,188.26,123.56,3.99,24.1,27.645828781873224,1383.27,0.5004952033948543,0.7839241363738992,0.7964871404247692,0.871535241543161,524.6300000000001,64.33809369821437,0,0,1,0,0,1,0
39.19,0,50.32,1.6,166.88,128.04,49.91,1.17,1157.25,21.90937914793248,2.49,2.0,1.0,19.66,3.01,0.02,191.06,76.76,50.71,1247.0,50.02,757.93,291.34,415.04,4.02,16.09,19.65625,1527.67,0.5002651096113689,1.5254372019077902,0.6679490467641275,0.7672579098753595,89.75,39.29520041276037,0,0,1,0,0,0,1
50.51,1,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,29.07152849804965,3.49,4.01,2.98,32.51,3.0,0.02,258.98,102.72,68.72,2476.0,10.0,1356.53,170.61,270.38,4.99,17.03,32.507809853588775,2065.28,0.5015881623799194,1.189301840916985,0.8280446385249879,0.8898831717623664,501.74,61.260920836234526,0,0,1,0,0,0,1
47.77,0,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,23.64931819941694,3.51,5.02,3.01,25.33,3.01,0.01,231.16,93.27,61.23,2232.0,11.88,323.04,135.18,393.39,4.0,20.97,25.32604757879483,1848.79,0.5001325191070917,1.1118130885683633,0.7405354626585251,0.8433885234747108,-501.4000000000001,64.05058696250913,0,1,0,0,1,0,0
19.0,1,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,24.128786918912287,3.5,5.02,2.99,21.52,3.01,0.01,181.82,71.6,48.11,2569.0,30.3,80.98,210.51,239.19,3.99,23.95,21.5170762182424,1446.67,0.5027269522420454,0.8661988870070166,0.954834662604176,0.9709928057553956,-131.6199999999999,62.7151447328271,0,1,0,0,1,0,0
38.01,0,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,26.59443119940612,2.71,5.0,3.0,23.7,3.98,2.99,369.71,147.77,98.38,1726.0,35.84,131.07,244.36,471.47,4.99,14.93,23.6974030243261,2955.34,0.5003958935350924,2.5623374371423617,0.5989913654771912,0.7161862527716186,-619.1999999999998,42.33299152730249,0,1,0,0,1,0,0
27.39,0,71.79,1.97,180.96,151.11,72.68,0.75,743.85,24.47776252578399,3.59,3.01,1.02,18.5,3.01,0.02,207.16,82.59,55.08,2046.0,16.18,674.45,127.06,306.18,4.0,15.13,18.498286479940223,1654.72,0.5007735447689035,1.1504387797743418,0.7243258219431105,0.8350464190981433,1302.15,54.21741428273968,0,0,1,0,1,0,0
18.86,0,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,28.04992817494376,2.3,4.0,1.98,27.79,2.0,0.96,298.25,118.86,79.54,2455.0,25.56,835.15,299.07,300.06,4.99,17.87,27.792549306062817,2384.3,0.5003564987627396,1.2495794785534062,0.6634904714142427,0.7521110407430863,1161.16,68.4389083199935,0,0,1,0,1,0,0
40.36,1,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,21.80926489283508,2.69,5.02,3.01,19.45,1.98,0.01,192.66,76.8,51.19,1740.0,43.14,58.47,291.5,352.42,5.0,20.9,19.45213911972915,1538.55,0.5008871989860583,1.350210970464135,0.7633716045925509,0.8491251041542672,-449.5799999999999,44.47489012895541,0,0,1,0,1,0,0
37.14,1,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,30.300737914959768,2.09,4.0,2.0,24.41,2.99,-0.02,233.62,92.99,62.41,2166.0,27.8,434.36,271.65,370.94,5.0,16.98,24.411886750295253,1868.13,0.5002221472809708,1.215873430962343,0.5750829757953533,0.7088579510788174,860.4000000000001,53.30599564263877,1,0,0,0,0,1,0
18.93,1,72.56,1.79,177.48,124.41,60.95,0.81,803.36,26.40511440359576,1.58,2.99,1.02,22.65,2.99,0.02,219.75,87.27,58.09,1802.0,5.03,1193.73,252.47,366.68,4.0,25.07,22.645984831934086,1750.89,0.5020303959700495,1.202728776185226,0.5445807946451557,0.7009803921568628,998.64,53.40044898875092,0,0,1,0,0,1,0
46.0,1,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,21.804029360668224,2.51,4.01,2.0,21.28,1.99,0.01,247.96,99.4,66.24,1716.0,16.21,1318.33,53.39,122.1,4.0,23.01,21.27621882086168,1985.6,0.4995165189363417,1.6552872606161533,0.826362484157161,0.892001697895822,171.5999999999999,46.95668036891873,0,1,0,0,0,0,1
37.06,0,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,25.78541781279678,2.39,3.0,2.0,24.12,3.02,1.0,300.3,120.63,80.22,2038.0,1.96,2075.74,21.79,229.67,4.98,22.86,24.124719249570617,2405.7,0.4993141289437586,1.6515607886089811,0.6163849154746422,0.7491363273983523,914.8,54.20633082953324,0,0,1,0,0,1,0
50.23,0,86.72,1.63,160.86,143.17,58.08,1.7,1326.0,29.12385208982389,3.51,4.0,3.0,32.64,3.0,-0.01,256.65,103.91,68.88,2212.0,10.7,1357.2,172.78,270.05,5.0,17.09,32.63954232376078,2062.16,0.4978275206579509,1.198224169741697,0.8278848024907567,0.8900285962949147,886.0,61.46379546770473,0,0,0,1,1,0,0
30.9,0,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,29.31860660365026,1.82,3.98,1.95,26.25,2.0,1.01,222.21,89.25,58.85,2182.0,15.41,278.9,228.23,407.72,4.0,24.02,26.254232071406587,1775.4900000000002,0.5006167311559062,1.1625635013677218,0.6182608695652173,0.722561617863914,967.88,54.26210571037769,1,0,0,0,1,0,0
24.03,0,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,26.7693540494346,3.48,4.01,3.01,27.56,2.99,-0.01,174.44,69.19,46.48,2410.0,0.81,299.22,187.88,124.74,3.99,23.85,27.555319746574703,1392.84,0.5009620631228282,0.783667459508438,0.7867699430199429,0.8651084201633342,578.19,64.65533730975419,1,0,0,0,0,0,1
50.53,1,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,22.39259644326159,2.72,3.99,2.0,15.63,2.01,-0.0,177.97,71.05,47.3,1510.0,7.67,1250.31,138.48,220.52,4.01,14.99,15.627312847783775,1421.78,0.5006963102589711,1.2462725837572357,0.5472641102972857,0.7146426243754074,332.79999999999995,44.24398076769656,0,0,1,0,0,1,0
54.03,0,87.22,1.76,188.72,157.91,68.0,1.48,1067.38,28.418499463942585,3.39,3.0,2.02,28.16,3.0,-0.0,296.87,118.4,79.38,2269.0,15.56,2425.23,235.02,353.93,5.0,16.88,28.15728305785124,2375.5,0.4998863397179541,1.3574868149506996,0.7447813121272365,0.8367422636710471,1201.62,62.43338476754927,0,0,0,1,1,0,0
25.11,0,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,30.89257150473395,2.28,2.99,2.01,29.83,4.02,0.02,198.29,79.79,52.85,3016.0,43.02,2092.8,254.4,466.3,3.98,15.03,29.83250339520145,1587.97,0.499480468774599,0.7567336874051594,0.8287075974208017,0.8947277739490006,1738.14,72.86687260540852,1,0,0,0,0,1,0
39.05,1,102.34,1.94,192.28,133.68,50.01,0.9,792.0,32.46285886287696,2.41,3.01,1.0,27.19,3.02,-0.03,282.28,111.71,74.89,2624.0,9.88,434.89,2.84,459.96,5.02,22.0,27.192050164735893,2249.97,0.5018378022818082,1.0915575532538595,0.5881071202642862,0.6952361140004161,1832.0,69.11751023973171,1,0,0,0,0,1,0
